=== DIAGNOSTIC START ===
Starting diagnostic test for 5x5 level #3...
[Attempt 0] ✅ dots placed (0ms)
[Attempt 0] ❌ solve FAILED (3ms)
[Attempt 1] ✅ dots placed (1ms)
[Attempt 1] ❌ solve FAILED (1ms)
[Attempt 2] ✅ dots placed (0ms)
[Attempt 2] ❌ solve FAILED (1ms)
[Attempt 3] ✅ dots placed (0ms)
[Attempt 3] ❌ solve FAILED (1ms)
[Attempt 4] ✅ dots placed (0ms)
[Attempt 4] ❌ solve FAILED (1ms)
[Attempt 5] ✅ dots placed (0ms)
[Attempt 5] ❌ solve FAILED (0ms)
[Attempt 6] ✅ dots placed (0ms)
[Attempt 6] ❌ solve FAILED (1ms)
[Attempt 7] ✅ dots placed (0ms)
[Attempt 7] ❌ solve FAILED (1ms)
[Attempt 8] ✅ dots placed (1ms)
[Attempt 8] ❌ solve FAILED (1ms)
[Attempt 9] ✅ dots placed (0ms)
[Attempt 9] ❌ solve FAILED (0ms)
[Attempt 10] ✅ dots placed (0ms)
[Attempt 10] ❌ solve FAILED (2ms)
[Attempt 11] ✅ dots placed (0ms)
[Attempt 11] ❌ solve FAILED (3ms)
[Attempt 12] ✅ dots placed (0ms)
[Attempt 12] ❌ solve FAILED (2ms)
[Attempt 13] ✅ dots placed (1ms)
[Attempt 13] ❌ solve FAILED (1ms)
[Attempt 14] ✅ dots placed (0ms)
[Attempt 14] ❌ solve FAILED (1ms)
[Attempt 15] ✅ dots placed (0ms)
[Attempt 15] ❌ solve FAILED (1ms)
[Attempt 16] ✅ dots placed (0ms)
[Attempt 16] ❌ solve FAILED (0ms)
[Attempt 17] ✅ dots placed (0ms)
[Attempt 17] ❌ solve FAILED (0ms)
[Attempt 18] ✅ dots placed (0ms)
[Attempt 18] ❌ solve FAILED (1ms)
[Attempt 19] ✅ dots placed (0ms)
[Attempt 19] ❌ solve FAILED (1ms)
[Attempt 20] ✅ dots placed (0ms)
[Attempt 20] ❌ solve FAILED (1ms)
[Attempt 21] ✅ dots placed (0ms)
[Attempt 21] ❌ solve FAILED (1ms)
[Attempt 22] ✅ dots placed (0ms)
[Attempt 22] ❌ solve FAILED (0ms)
[Attempt 23] ✅ dots placed (0ms)
[Attempt 23] ❌ solve FAILED (1ms)
[Attempt 24] ✅ dots placed (0ms)
[Attempt 24] ❌ solve FAILED (1ms)
[Attempt 25] ✅ dots placed (0ms)
[Attempt 25] ❌ solve FAILED (0ms)
[Attempt 26] ✅ dots placed (0ms)
[Attempt 26] ❌ solve FAILED (0ms)
[Attempt 27] ✅ dots placed (0ms)
[Attempt 27] ❌ solve FAILED (1ms)
[Attempt 28] ✅ dots placed (0ms)
[Attempt 28] ❌ solve FAILED (1ms)
[Attempt 29] ✅ dots placed (0ms)
[Attempt 29] ❌ solve FAILED (2ms)
[Attempt 30] ✅ dots placed (1ms)
[Attempt 30] ❌ solve FAILED (1ms)
[Attempt 31] ✅ dots placed (0ms)
[Attempt 31] ❌ solve FAILED (0ms)
[Attempt 32] ✅ dots placed (0ms)
[Attempt 32] ❌ solve FAILED (1ms)
[Attempt 33] ✅ dots placed (0ms)
[Attempt 33] ❌ solve FAILED (1ms)
[Attempt 34] ✅ dots placed (0ms)
[Attempt 34] ❌ solve FAILED (0ms)
[Attempt 35] ✅ dots placed (0ms)
[Attempt 35] ❌ solve FAILED (0ms)
[Attempt 36] ✅ dots placed (0ms)
[Attempt 36] ❌ solve FAILED (1ms)
[Attempt 37] ✅ dots placed (0ms)
[Attempt 37] ❌ solve FAILED (0ms)
[Attempt 38] ✅ dots placed (0ms)
[Attempt 38] ❌ solve FAILED (1ms)
[Attempt 39] ✅ dots placed (0ms)
[Attempt 39] ❌ solve FAILED (1ms)
[Attempt 40] ✅ dots placed (1ms)
[Attempt 40] ❌ solve FAILED (1ms)
[Attempt 41] ✅ dots placed (0ms)
[Attempt 41] ❌ solve FAILED (0ms)
[Attempt 42] ✅ dots placed (0ms)
[Attempt 42] ❌ solve FAILED (1ms)
[Attempt 43] ✅ dots placed (0ms)
[Attempt 43] ❌ solve FAILED (0ms)
[Attempt 44] ✅ dots placed (0ms)
[Attempt 44] ❌ solve FAILED (1ms)
[Attempt 45] ✅ dots placed (0ms)
[Attempt 45] ❌ solve FAILED (1ms)
[Attempt 46] ✅ dots placed (0ms)
[Attempt 46] ❌ solve FAILED (0ms)
[Attempt 47] ✅ dots placed (0ms)
[Attempt 47] ❌ solve FAILED (1ms)
[Attempt 48] ✅ dots placed (0ms)
[Attempt 48] ❌ solve FAILED (1ms)
[Attempt 49] ✅ dots placed (0ms)
[Attempt 49] ❌ solve FAILED (0ms)

=== DIAGNOSTIC SUMMARY ===
Successes: 0
Failures: 50
Total time: 0.1s

Check diagnose-result.txt for full log
